psyjaj@bann:G52OSC$ ./req1a
JOBS:
Id = 0, Burst Time = 29, Remaining Time = 29, Priority = 6
Id = 329, Burst Time = 52, Remaining Time = 52, Priority = 1
Id = 330, Burst Time = 6, Remaining Time = 6, Priority = 0
Id = 331, Burst Time = 93, Remaining Time = 93, Priority = 0
Id = 332, Burst Time = 82, Remaining Time = 82, Priority = 5
Id = 333, Burst Time = 52, Remaining Time = 52, Priority = 9
Id = 334, Burst Time = 84, Remaining Time = 84, Priority = 1
Id = 335, Burst Time = 60, Remaining Time = 60, Priority = 4
Id = 336, Burst Time = 35, Remaining Time = 35, Priority = 5
Id = 337, Burst Time = 48, Remaining Time = 48, Priority = 4
Id = 338, Burst Time = 68, Remaining Time = 68, Priority = 8
Id = 339, Burst Time = 94, Remaining Time = 94, Priority = 8
Id = 340, Burst Time = 64, Remaining Time = 64, Priority = 2
Id = 341, Burst Time = 21, Remaining Time = 21, Priority = 2
Id = 342, Burst Time = 90, Remaining Time = 90, Priority = 0
Id = 343, Burst Time = 61, Remaining Time = 61, Priority = 4
Id = 344, Burst Time = 17, Remaining Time = 17, Priority = 3
Id = 345, Burst Time = 97, Remaining Time = 97, Priority = 3
Id = 346, Burst Time = 63, Remaining Time = 63, Priority = 4
Id = 347, Burst Time = 66, Remaining Time = 66, Priority = 3
Id = 348, Burst Time = 72, Remaining Time = 72, Priority = 7
Id = 349, Burst Time = 73, Remaining Time = 73, Priority = 5
Id = 350, Burst Time = 93, Remaining Time = 93, Priority = 9
Id = 351, Burst Time = 93, Remaining Time = 93, Priority = 2
Id = 352, Burst Time = 64, Remaining Time = 64, Priority = 7
Id = 353, Burst Time = 72, Remaining Time = 72, Priority = 5
Id = 354, Burst Time = 56, Remaining Time = 56, Priority = 1
Id = 355, Burst Time = 65, Remaining Time = 65, Priority = 3
Id = 356, Burst Time = 89, Remaining Time = 89, Priority = 8
Id = 357, Burst Time = 94, Remaining Time = 94, Priority = 1
Id = 358, Burst Time = 30, Remaining Time = 30, Priority = 8
Id = 359, Burst Time = 35, Remaining Time = 35, Priority = 6
Id = 360, Burst Time = 66, Remaining Time = 66, Priority = 5
Id = 361, Burst Time = 68, Remaining Time = 68, Priority = 8
Id = 362, Burst Time = 19, Remaining Time = 19, Priority = 4
Id = 363, Burst Time = 69, Remaining Time = 69, Priority = 1
Id = 364, Burst Time = 49, Remaining Time = 49, Priority = 5
Id = 365, Burst Time = 41, Remaining Time = 41, Priority = 3
Id = 366, Burst Time = 70, Remaining Time = 70, Priority = 1
Id = 367, Burst Time = 66, Remaining Time = 66, Priority = 0
Id = 368, Burst Time = 70, Remaining Time = 70, Priority = 3
Id = 369, Burst Time = 61, Remaining Time = 61, Priority = 6
Id = 370, Burst Time = 1, Remaining Time = 1, Priority = 9
Id = 371, Burst Time = 47, Remaining Time = 47, Priority = 0
Id = 372, Burst Time = 11, Remaining Time = 11, Priority = 6
Id = 373, Burst Time = 65, Remaining Time = 65, Priority = 7
Id = 374, Burst Time = 91, Remaining Time = 91, Priority = 1
Id = 375, Burst Time = 83, Remaining Time = 83, Priority = 0
Id = 376, Burst Time = 30, Remaining Time = 30, Priority = 5
Id = 377, Burst Time = 82, Remaining Time = 82, Priority = 8
Id = 378, Burst Time = 82, Remaining Time = 82, Priority = 2
Id = 379, Burst Time = 33, Remaining Time = 33, Priority = 6
Id = 380, Burst Time = 89, Remaining Time = 89, Priority = 1
Id = 381, Burst Time = 69, Remaining Time = 69, Priority = 4
Id = 382, Burst Time = 5, Remaining Time = 5, Priority = 7
Id = 383, Burst Time = 91, Remaining Time = 91, Priority = 0
Id = 384, Burst Time = 67, Remaining Time = 67, Priority = 2
Id = 385, Burst Time = 98, Remaining Time = 98, Priority = 0
Id = 386, Burst Time = 75, Remaining Time = 75, Priority = 7
Id = 387, Burst Time = 52, Remaining Time = 52, Priority = 0
Id = 388, Burst Time = 83, Remaining Time = 83, Priority = 4
Id = 389, Burst Time = 23, Remaining Time = 23, Priority = 2
Id = 390, Burst Time = 16, Remaining Time = 16, Priority = 4
Id = 391, Burst Time = 31, Remaining Time = 31, Priority = 5
Id = 392, Burst Time = 55, Remaining Time = 55, Priority = 4
Id = 393, Burst Time = 89, Remaining Time = 89, Priority = 3
Id = 394, Burst Time = 60, Remaining Time = 60, Priority = 6
Id = 395, Burst Time = 66, Remaining Time = 66, Priority = 8
Id = 396, Burst Time = 92, Remaining Time = 92, Priority = 2
Id = 397, Burst Time = 10, Remaining Time = 10, Priority = 3
Id = 398, Burst Time = 63, Remaining Time = 63, Priority = 8
Id = 399, Burst Time = 68, Remaining Time = 68, Priority = 4
Id = 400, Burst Time = 47, Remaining Time = 47, Priority = 2
Id = 401, Burst Time = 94, Remaining Time = 94, Priority = 5
Id = 402, Burst Time = 10, Remaining Time = 10, Priority = 7
Id = 403, Burst Time = 7, Remaining Time = 7, Priority = 7
Id = 404, Burst Time = 62, Remaining Time = 62, Priority = 6
Id = 405, Burst Time = 64, Remaining Time = 64, Priority = 8
Id = 406, Burst Time = 33, Remaining Time = 33, Priority = 3
Id = 407, Burst Time = 20, Remaining Time = 20, Priority = 3
Id = 408, Burst Time = 3, Remaining Time = 3, Priority = 9
Id = 409, Burst Time = 22, Remaining Time = 22, Priority = 6
Id = 410, Burst Time = 26, Remaining Time = 26, Priority = 0
Id = 411, Burst Time = 13, Remaining Time = 13, Priority = 8
Id = 412, Burst Time = 16, Remaining Time = 16, Priority = 8
Id = 413, Burst Time = 10, Remaining Time = 10, Priority = 6
Id = 414, Burst Time = 16, Remaining Time = 16, Priority = 5
Id = 415, Burst Time = 7, Remaining Time = 7, Priority = 1
Id = 416, Burst Time = 43, Remaining Time = 43, Priority = 9
Id = 417, Burst Time = 84, Remaining Time = 84, Priority = 0
Id = 418, Burst Time = 44, Remaining Time = 44, Priority = 4
Id = 419, Burst Time = 41, Remaining Time = 41, Priority = 9
Id = 420, Burst Time = 16, Remaining Time = 16, Priority = 8
Id = 421, Burst Time = 78, Remaining Time = 78, Priority = 3
Id = 422, Burst Time = 96, Remaining Time = 96, Priority = 4
Id = 423, Burst Time = 31, Remaining Time = 31, Priority = 9
Id = 424, Burst Time = 1, Remaining Time = 1, Priority = 7
Id = 425, Burst Time = 60, Remaining Time = 60, Priority = 3
Id = 426, Burst Time = 38, Remaining Time = 38, Priority = 1
Id = 427, Burst Time = 42, Remaining Time = 42, Priority = 2
Id = 428, Burst Time = 89, Remaining Time = 89, Priority = 5
Id = 429, Burst Time = 31, Remaining Time = 31, Priority = 9
Id = 430, Burst Time = 27, Remaining Time = 27, Priority = 4
Id = 431, Burst Time = 67, Remaining Time = 67, Priority = 1
Id = 432, Burst Time = 34, Remaining Time = 34, Priority = 7
Id = 433, Burst Time = 18, Remaining Time = 18, Priority = 1
